Family_Number,Nearest_Bus_Station,Total_Deliveries,Food_Deliveries,Supermarket_Deliveries,Other_Deliveries,Packages_Deliveries
20540,there is no bus service in my area,0,0,0,0,0
20541,there is no bus service in my area,6,3,0,0,3
21236,there is no bus service in my area,3,1,0,2,0
20832, don’t know ,0,0,0,0,0
20542,there is no bus service in my area,2,0,0,1,1
20833, don’t know ,0,0,0,0,0
21242,there is no bus service in my area,0,0,0,0,0
20974,there is no bus service in my area,3,1,2,0,0
20136,there is no bus service in my area,1,1,0,0,0
20834,there is no bus service in my area,0,0,0,0,0
20227,there is no bus service in my area,2,1,0,0,1
20137,there is no bus service in my area,0,0,0,0,0
21244,there is no bus service in my area,0,0,0,0,0
20228,there is no bus service in my area,1,0,0,0,1
20138,there is no bus service in my area,0,0,0,0,0
20229,there is no bus service in my area,0,0,0,0,0
20230,there is no bus service in my area,0,0,0,0,0
21247,there is no bus service in my area,0,0,0,0,0
20231,there is no bus service in my area,0,0,0,0,0
20593, don’t know ,8,2,2,0,4
20589,there is no bus service in my area,4,1,1,0,2
20594, don’t know ,3,1,1,0,1
20595, don’t know ,2,1,0,0,1
20282, don’t know ,6,1,0,2,3
20596,there is no bus service in my area,0,0,0,0,0
21237,there is no bus service in my area,0,0,0,0,0
24376,there is no bus service in my area,6,0,3,0,3
20811, don’t know ,0,0,0,0,0
20344,there is no bus service in my area,0,0,0,0,0
20232,there is no bus service in my area,0,0,0,0,0
20292,there is no bus service in my area,0,0,0,0,0
20975,there is no bus service in my area,3,1,2,0,0
24377, don’t know ,2,1,1,0,0
21302,11  - 15 mins walk,0,0,0,0,0
22387, don’t know ,4,2,2,0,0
20002,there is no bus service in my area,3,1,2,0,0
24378,there is no bus service in my area,10,0,5,0,5
21238,there is no bus service in my area,0,0,0,0,0
20812,there is no bus service in my area,0,0,0,0,0
20285, don’t know ,10,2,2,1,5
23116, don’t know ,0,0,0,0,0
20543,there is no bus service in my area,10,2,2,1,5
21108, don’t know ,0,0,0,0,0
20233,there is no bus service in my area,0,0,0,0,0
20139,there is no bus service in my area,1,0,0,0,1
21484, More than 15 mins,1,1,0,0,0
20328, More than 15 mins,0,0,0,0,0
22388, don’t know ,5,3,2,0,0
21109,there is no bus service in my area,2,1,0,0,1
20234,there is no bus service in my area,0,0,0,0,0
21239,there is no bus service in my area,0,0,0,0,0
23983, don’t know ,8,0,0,7,1
20003, don’t know ,3,2,0,0,1
20140,there is no bus service in my area,0,0,0,0,0
20329, More than 15 mins,0,0,0,0,0
20559,there is no bus service in my area,10,2,1,2,5
24215,there is no bus service in my area,0,0,0,0,0
20141,there is no bus service in my area,0,0,0,0,0
21078, More than 15 mins,0,0,0,0,0
24379,there is no bus service in my area,2,0,1,1,0
21486,< 5 mins walk,0,0,0,0,0
20283, don’t know ,4,1,0,1,2
23984,there is no bus service in my area,0,0,0,0,0
22389, don’t know ,4,2,2,0,0
20235,there is no bus service in my area,0,0,0,0,0
24380, don’t know ,6,0,3,0,3
20051, don’t know ,0,0,0,0,0
23985, don’t know ,0,0,0,0,0
23986, don’t know ,0,0,0,0,0
20052, don’t know ,1,1,0,0,0
24216,there is no bus service in my area,0,0,0,0,0
20053, don’t know ,0,0,0,0,0
21241,there is no bus service in my area,0,0,0,0,0
23987, don’t know ,0,0,0,0,0
20236,there is no bus service in my area,0,0,0,0,0
21303, don’t know ,0,0,0,0,0
20054,there is no bus service in my area,1,0,1,0,0
21824,there is no bus service in my area,2,1,1,0,0
21243,there is no bus service in my area,0,0,0,0,0
20055,there is no bus service in my area,3,0,3,0,0
20004,there is no bus service in my area,0,0,0,0,0
23166, don’t know ,0,0,0,0,0
20569,there is no bus service in my area,0,0,0,0,0
20056,there is no bus service in my area,2,1,0,0,1
20057,there is no bus service in my area,5,1,3,0,1
20371, don’t know ,5,1,2,0,2
21304, don’t know ,0,0,0,0,0
20801, don’t know ,0,0,0,0,0
20284,there is no bus service in my area,12,3,1,2,6
20286, don’t know ,4,0,1,1,2
20849,there is no bus service in my area,2,1,0,0,1
21495,there is no bus service in my area,2,1,1,0,0
21245,there is no bus service in my area,0,0,0,0,0
20005,there is no bus service in my area,1,1,0,0,0
20345, don’t know ,1,0,0,0,1
23165, More than 15 mins,4,1,2,0,1
21488,there is no bus service in my area,0,0,0,0,0
20590,there is no bus service in my area,4,1,1,0,2
21246,there is no bus service in my area,0,0,0,0,0
23058, don’t know ,0,0,0,0,0
23164,11  - 15 mins walk,4,0,1,1,2
20287, don’t know ,0,0,0,0,0
23168, don’t know ,0,0,0,0,0
23977,there is no bus service in my area,3,1,0,0,2
22390, don’t know ,7,3,3,1,0
20591,there is no bus service in my area,4,1,1,0,2
23163,< 5 mins walk,4,0,1,1,2
20413,6-10 mins walk,0,0,0,0,0
20816,there is no bus service in my area,0,0,0,0,0
21628, don’t know ,0,0,0,0,0
21981, don’t know ,1,1,0,0,0
20006,there is no bus service in my area,0,0,0,0,0
23169, don’t know ,0,0,0,0,0
24381, don’t know ,18,2,7,0,9
24343,there is no bus service in my area,0,0,0,0,0
20592, don’t know ,0,0,0,0,0
20597,there is no bus service in my area,0,0,0,0,0
20293,there is no bus service in my area,0,0,0,0,0
24382, don’t know ,16,0,3,1,12
20411,6-10 mins walk,6,1,0,2,3
20007, don’t know ,2,1,0,0,1
22158,there is no bus service in my area,0,0,0,0,0
20976,there is no bus service in my area,4,1,1,0,2
23236,< 5 mins walk,0,0,0,0,0
20817,there is no bus service in my area,0,0,0,0,0
21982, don’t know ,4,2,2,0,0
23162,11  - 15 mins walk,4,1,1,0,2
23978,there is no bus service in my area,1,0,0,0,1
24345,there is no bus service in my area,0,0,0,0,0
23112, don’t know ,2,0,0,2,0
22200,there is no bus service in my area,0,0,0,0,0
20689, don’t know ,5,2,3,0,0
20650,there is no bus service in my area,0,0,0,0,0
22391, don’t know ,10,4,4,2,0
20570,there is no bus service in my area,0,0,0,0,0
24383,there is no bus service in my area,8,1,3,0,4
20412,6-10 mins walk,0,0,0,0,0
24217,there is no bus service in my area,8,2,2,0,4
22456, More than 15 mins,1,1,0,0,0
20818, don’t know ,0,0,0,0,0
24344,there is no bus service in my area,0,0,0,0,0
23171, don’t know ,0,0,0,0,0
23237,11  - 15 mins walk,0,0,0,0,0
22392, don’t know ,3,2,1,0,0
23979, don’t know ,0,0,0,0,0
24384, don’t know ,12,1,5,0,6
22499, don’t know ,0,0,0,0,0
22159, don’t know ,4,1,0,1,2
