Family_Number,Vehicle_Type,Vehicle_Ownership,Fuel_Type,Parking_Location_at_Home,New types
20540,Mini-Bus,Household,Petrol,Roadside - Free,Mini-Bus
20541,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21236,Car,Household,Petrol,Roadside - Free,Car
20542,Car,Household,Petrol,Personal Garage (Home),Car
20542,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20542,Car,Household,Petrol,Personal Garage (Home),Car
20542,Car,Household,Petrol,Personal Garage (Home),Car
20833,Car,Household,Petrol,Personal Garage (Home),Car
21242,Car,Household,Petrol,Roadside - Free,Car
20974,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20974,Car,Household,Petrol,Personal Garage (Home),Car
20136,Car,Household,Petrol,Roadside - Free,Car
20834,Car,Household,Petrol,Roadside - Free,Car
20227,Car,Employer's,Petrol,On-Site Residential - Free,Car
20137,Car,Household,Petrol,Roadside - Free,Car
21244,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21244,Car,Household,Petrol,Roadside - Free,Car
21244,Car,Household,Petrol,Roadside - Free,Car
20228,Car,Household,Petrol,Personal Garage (Home),Car
20138,Car,Household,Petrol,Roadside - Free,Car
20138,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20229,Car,Household,Petrol,Personal Garage (Home),Car
20229,Car,Household,Petrol,Personal Garage (Home),Car
20229,Car,Household,Petrol,Personal Garage (Home),Car
20230,Car,Household,Petrol,Personal Garage (Home),Car
21247,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21247,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20231,Pick-Up,Household,Petrol,Personal Garage (Home),LGV
20231,Car,Household,Petrol,Roadside - Free,Car
20593,Car,Household,Petrol,Roadside - Charged,Car
20589,Car,Household,Petrol,Roadside - Free,Car
20594,Large Car (SUV),Employer's,Petrol,Roadside - Charged,Car
20595,Pick-Up,Household,Diesel,On-Site Residential - Free,LGV
20282,Car,Household,Petrol,Personal Garage (Home),Car
20282,Car,Household,Petrol,Roadside - Free,Car
20282,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20282,Car,Household,Petrol,Roadside - Free,Car
21237,Car,Household,Petrol,Roadside - Free,Car
21237,Car,Household,Petrol,Roadside - Free,Car
24376,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20811,Car,Household,Petrol,Roadside - Free,Car
20344,Car,Household,Petrol,On-Site Residential - Free,Car
20232,Car,Household,Petrol,Personal Garage (Home),Car
20292,Car,Household,Petrol,Personal Garage (Home),Car
20292,Car,Household,Petrol,Personal Garage (Home),Car
20975,Car,Household,Petrol,Personal Garage (Home),Car
24377,Car,Household,Diesel,Personal Garage (Home),Car
21302,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21302,Car,Household,Petrol,Roadside - Free,Car
21302,Car,Household,Petrol,Roadside - Free,Car
22387,Car,Household,Petrol,Roadside - Free,Car
20002,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20002,Car,Household,Petrol,Roadside - Free,Car
20002,Car,Household,Petrol,Roadside - Free,Car
20002,Car,Household,Petrol,Roadside - Free,Car
24378,Car,Household,Petrol,Roadside - Free,Car
21238,Car,Household,Petrol,Roadside - Free,Car
21238,Car,Household,Petrol,Roadside - Free,Car
20812,Car,Household,Petrol,Roadside - Free,Car
20285,Car,Household,Petrol,Roadside - Free,Car
20285,Car,Household,Petrol,Roadside - Free,Car
20285,Car,Household,Petrol,Roadside - Free,Car
23116,Car,Employer's,Petrol,On-Site Residential - Free,Car
20543,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20543,Car,Household,Petrol,Personal Garage (Home),Car
21108,Pick-Up,Employer's,Petrol,Roadside - Free,LGV
21108,Car,Employer's,Petrol,Roadside - Free,Car
20139,Car,Household,Petrol,Roadside - Free,Car
20139,Car,Household,Petrol,Personal Garage (Home),Car
20328,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20328,Pick-Up,Household,Petrol,Roadside - Free,LGV
22388,Car,Household,Petrol,Roadside - Free,Car
21109,Car,Rental,Petrol,Roadside - Free,Car
20234,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
21239,Car,Household,Petrol,Roadside - Free,Car
23983,Car,Household,Petrol,Roadside - Free,Car
23983,Car,Household,Petrol,Roadside - Free,Car
20003,Car,Household,Petrol,Roadside - Free,Car
20140,Car,Household,Petrol,Roadside - Free,Car
20140,Car,Household,Petrol,Personal Garage (Home),Car
20329,Car,Household,Petrol,Roadside - Free,Car
20329,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20559,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20559,Car,Household,Petrol,Personal Garage (Home),Car
24215,Car,Household,Petrol,Personal Garage (Home),Car
20141,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21078,Car,Household,Petrol,Roadside - Free,Car
20283,Car,Household,Petrol,Roadside - Free,Car
20283,Car,Household,Petrol,Roadside - Free,Car
23984,Car,Household,Diesel,Roadside - Free,Car
22389,Car,Household,Petrol,Roadside - Free,Car
20235,Car,Household,Petrol,Personal Garage (Home),Car
24380,Car,Household,Petrol,Personal Garage (Home),Car
20051,Car,Household,Petrol,Roadside - Free,Car
20051,Car,Household,Petrol,Roadside - Free,Car
23985,Car,Household,Petrol,Roadside - Free,Car
23986,Car,Household,Petrol,Roadside - Free,Car
20052,Car,Household,Petrol,Roadside - Free,Car
24216,Car,Household,Petrol,Personal Garage (Home),Car
20053,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
21241,Car,Household,Petrol,Roadside - Free,Car
23987,Pick-Up,Household,Diesel,Roadside - Free,LGV
20236,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20236,Car,Household,Petrol,Roadside - Free,Car
20236,Car,Household,Petrol,Roadside - Free,Car
20054,Pick-Up,Household,Petrol,Roadside - Free,LGV
21243,Car,Household,Petrol,Roadside - Free,Car
20055,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20004,Car,Household,Petrol,Roadside - Free,Car
23166,Car,Household,Petrol,Roadside - Free,Car
20569,Car,Household,Petrol,Roadside - Free,Car
20569,Car,Household,Petrol,Roadside - Free,Car
20056,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20056,Car,Household,Petrol,Personal Garage (Home),Car
20057,Car,Household,Petrol,Roadside - Free,Car
20371,Car,Household,Petrol,Roadside - Free,Car
21304,Car,Household,Petrol,On-Site Residential - Free,Car
20801,Large Car (SUV),Household,Petrol,Roadside - Free,Car
