Person_id,Family_Number,Person_Number,Gender,Age,Nationality_Type,Trips_Done,Occupation_Status,License_Type
2054001,20540,1,Male,40,Non-Saudi Arab,Yes,Full Time Employed,Car Only
2054002,20540,2,Female,22,Non-Saudi Arab,Don't want to go out,House Person,No License
2054101,20541,1,Male,50,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2054102,20541,2,Male,16,Non-Saudi Non-Arab,Yes,Student - Secondary School,No License
2054103,20541,3,Female,14,Non-Saudi Non-Arab,Yes,Student - Primary School,No License
2123601,21236,1,Male,24,Saudi,Yes,Full Time Employed,Car Only
2123602,21236,2,Female,21,Saudi,housewife,Unemployed,No License
2083201,20832,1,Male,40,Non-Saudi Arab,Yes,Full Time Employed,No License
2083202,20832,2,Female,18-24,Non-Saudi Arab,housewife,Unemployed,No License
2083203,20832,3,Female,6,Non-Saudi Arab,child not in foster care,Child not at nursery,No License
2083204,20832,4,Female,4,Non-Saudi Arab,child not in foster care,Child not at nursery,No License
2054201,20542,1,Male,52,Saudi,Yes,Full Time Employed,Car Only
2054202,20542,2,Female,41,Saudi,Don't want to go out,House Person,No License
2054203,20542,3,Male,20,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2054204,20542,4,Male,19,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2054205,20542,5,Male,17,Saudi,Yes,Student - Secondary School,No License
2054206,20542,6,Female,16,Saudi,Don't want to go out,Student - Secondary School,No License
2083301,20833,1,Male,61,Non-Saudi Arab,Yes,Unemployed,No License
2083302,20833,2,Male,53,Non-Saudi Arab,taxi driver,Self-Employed (own business),Car Only
2124201,21242,1,Male,29,Saudi,Yes,Unemployed,Car Only
2124202,21242,2,Female,25,Saudi,Yes,House Person,No License
2097401,20974,1,Male,59,Saudi,Yes,Full Time Employed,Car Only
2097402,20974,2,Male,16-17,Saudi,Yes,Student - Secondary School,No License
2013601,20136,1,Male,27,Saudi,Yes,Refused to Answer,Car Only
2013602,20136,2,Female,8,Saudi,Yes,Student - Elementary School,No License
2083401,20834,1,Male,37,Non-Saudi Non-Arab,Yes,Full Time Employed,Car Only
2083402,20834,2,Female,25-34,Non-Saudi Non-Arab,housewife,Unemployed,No License
2083403,20834,3,Male,9,Non-Saudi Non-Arab,Yes,Student - Elementary School,No License
2083404,20834,4,Female,4,Non-Saudi Non-Arab,A child who is not in foster care,Child not at nursery,No License
2022701,20227,1,Male,43,Saudi,Yes,Full Time Employed,Car Only
2022702,20227,2,Female,34-44,Saudi,nothing,House Person,No License
2022703,20227,3,Male,18,Saudi,sick,House Person,No License
2022704,20227,4,Male,12,Saudi,Yes,Student - Elementary School,No License
2013701,20137,1,Male,55-64,Saudi,Yes,Retired,Car Only
2013702,20137,2,Female,45-54,Saudi,Yes,House Person,Car Only
2013703,20137,3,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2013704,20137,4,Female,16-17,Saudi,Yes,Student - Secondary School,No License
2124401,21244,1,Male,49,Saudi,Yes,Retired,Car Only
2124402,21244,2,Female,47,Saudi,nothing,House Person,No License
2124403,21244,3,Male,22,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2124404,21244,4,Male,13,Saudi,Yes,Student - Primary School,No License
2124405,21244,5,Male,12,Saudi,Yes,Student - Elementary School,No License
2022801,20228,1,Male,51,Saudi,Yes,Full Time Employed,Car Only
2022802,20228,2,Female,38,Saudi,nothing,House Person,No License
2013801,20138,1,Male,34-44,Saudi,Yes,Full Time Employed,Car Only
2013802,20138,2,Female,25-34,Saudi,Vacation,Full Time Employed,Car Only
2013803,20138,3,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2013804,20138,4,Female,06-Nov,Saudi,Yes,Student - Elementary School,No License
2022901,20229,1,Male,28,Saudi,Yes,Full Time Employed,Car Only
2022902,20229,2,Male,22,Saudi,nothing,Student - University: Full-Time (does not work),Car Only
2022903,20229,3,Male,20,Saudi,Yes,Student - University: Full-Time (does not work),Car Only
2022904,20229,4,Female,44,Saudi,nothing,Full Time Employed,Car Only
2022905,20229,5,Female,65-74,Saudi,nothing,House Person,No License
2023001,20230,1,Male,33,Saudi,Yes,Full Time Employed,Car Only
2023002,20230,2,Female,23,Saudi,nothing,House Person,No License
2023003,20230,3,Female,3,Saudi,child,Child not at nursery,No License
2124701,21247,1,Male,57,Saudi,Yes,Retired,Car Only
2124702,21247,2,Female,52,Saudi,nothing,House Person,No License
